date,Close,Volume
7/22/2013,191.22,1982600
7/23/2013,188.58,2927700
7/24/2013,186.75,3498400
7/25/2013,194.61,5480800
7/26/2013,193.2,2177300
7/29/2013,191.97,1444100
7/30/2013,191.44,3477800
7/31/2013,177.01,22518400
8/1/2013,179.17,18571800
8/2/2013,184,5424600
8/5/2013,184.54,2869900
8/6/2013,182.89,4996700
8/7/2013,181.39,3889100
8/8/2013,180.78,2406700
8/9/2013,179.81,2507100
8/12/2013,179.76,3405600
8/13/2013,179.23,2851800
8/14/2013,178.35,3834700
8/15/2013,173.93,4322100
8/16/2013,173.13,3153100
8/19/2013,174.98,2995500
8/20/2013,173.22,3533800
8/21/2013,178.39,7732700
8/22/2013,178.92,2646600
8/23/2013,179.1,2451800
8/26/2013,175,3447300
8/27/2013,174.17,3190600
8/28/2013,175.21,3918000
8/29/2013,175.37,2351200
8/30/2013,174.42,2471600
9/3/2013,177.02,3137600
9/4/2013,176.19,2438300
9/5/2013,176.21,1851700
9/6/2013,176.67,1674300
9/9/2013,178.55,2700400
9/10/2013,184.59,4876800
9/11/2013,186.31,2751500
9/12/2013,185.06,3553000
9/13/2013,189,4100900
9/16/2013,189.38,2845200
9/17/2013,191.6,2600200
9/18/2013,193.65,2618700
9/19/2013,194.71,3741600
9/20/2013,198.83,14426800
9/23/2013,196.24,4887900
9/24/2013,193.34,3824100
9/25/2013,191.56,2648700
9/26/2013,193.56,2331600
9/27/2013,193.05,1814600
9/30/2013,191.1,2390400
10/1/2013,193.22,2346200
10/2/2013,191.82,2178100
10/3/2013,188.65,4911500
10/4/2013,190.48,2341400
10/7/2013,186.33,2946300
10/8/2013,182.53,4009900
10/9/2013,183.85,3362000
10/10/2013,189.03,2716400
10/11/2013,192.2,2978800
10/14/2013,193.44,2230600
10/15/2013,191.37,2641900
10/16/2013,195.63,2595700
10/17/2013,198.28,3151300
10/18/2013,200.45,3596800
10/21/2013,200.04,2881500
10/22/2013,199.98,3050700
10/23/2013,198.89,1869100
10/24/2013,202.91,2221400
10/25/2013,203.06,2753600
10/28/2013,203.08,1713600
10/29/2013,204.24,2149900
10/30/2013,203.82,2986600
10/31/2013,196.67,6008800
11/1/2013,199.16,3308400
11/4/2013,196.42,2772300
11/5/2013,197.37,2764500
11/6/2013,199.02,2219700
11/7/2013,196.1,2708100
11/8/2013,198.29,2865600
11/11/2013,199.27,2096300
11/12/2013,198.27,2254100
11/13/2013,199.78,2045400
11/14/2013,200.15,2727400
11/15/2013,202,3097900
11/18/2013,199.9,4095200
11/19/2013,197.39,3615700
